id_avaliacao,id_usuario,id_video,nota,comentario
1,15,963,3,Deleniti nobis sit quis harum magnam.
2,989,1058,3,Tempora repellendus reprehenderit libero.
3,479,1909,4,Repellat praesentium optio voluptatum repellat facilis possimus.
4,565,222,4,Ad in culpa.
5,398,459,5,Ipsum esse aperiam ea aut consequatur.
6,271,1556,5,Asperiores quisquam officiis aspernatur.
7,86,4449,3,Ex nobis repellendus vero adipisci.
8,707,3616,3,Nam pariatur quidem quibusdam ratione.
9,979,2376,1,Totam reiciendis voluptas blanditiis vitae quae.
10,250,3027,3,Atque odio dolore corrupti cumque.
11,771,4199,2,Pariatur eum odio ex consequatur pariatur.
12,467,785,4,Porro iusto quam nisi voluptate ducimus labore iste.
13,294,2337,2,Autem sunt expedita officiis.
14,160,3986,3,Eaque quis debitis veritatis.
15,350,3785,3,Numquam perferendis perferendis voluptate.
16,924,2753,4,Aut dicta consequatur ex.
17,101,3903,3,Sunt tenetur culpa commodi itaque.
18,996,3803,5,Quia rerum error suscipit atque a.
19,970,1986,4,At perferendis sequi.
20,753,1924,5,Dolor quaerat maiores animi eius.
21,607,4764,4,Minima itaque eos quod ut et similique.
22,9,1089,4,Delectus in numquam tenetur sint.
23,554,2567,4,Modi illo autem dicta.
24,687,3134,3,Placeat nesciunt quasi dignissimos dolor ut cum.
25,534,4304,1,Corporis ex maxime accusantium illum.
26,550,4208,5,Fugiat magni impedit voluptatum voluptatibus magnam aliquid.
27,74,2948,2,Assumenda hic repudiandae dicta quam repellat.
28,240,1671,5,Corrupti vel tenetur quasi nesciunt explicabo.
29,234,1679,1,Labore officiis repellat beatae fugit amet.
30,122,1159,5,Sed itaque id eaque eos deleniti.
31,407,1126,2,Error mollitia laboriosam maxime occaecati esse a.
32,637,1760,4,Officiis quaerat reiciendis ab.
33,902,490,5,Nisi aut iure soluta.
34,234,4372,5,Voluptate alias accusamus deleniti corrupti illum earum ducimus.
35,584,4052,5,Tempore corporis laboriosam quaerat optio.
36,631,2209,2,Adipisci voluptas aspernatur ipsum temporibus ipsam.
37,633,312,5,Velit vitae reiciendis.
38,982,3569,3,Temporibus culpa fugiat facilis et.
39,882,873,5,Ab saepe laborum.
40,363,3569,1,Quo impedit assumenda eveniet nam.
41,992,2960,5,Totam voluptatum laboriosam voluptatum placeat quia minus.
42,476,2414,5,Enim voluptates provident quas laborum fugit a.
43,565,1475,1,Cumque vel autem maxime animi atque.
44,375,430,3,Ad aut cupiditate quidem molestiae magnam distinctio.
45,214,4899,5,Provident sint fugit fuga nemo.
46,285,541,3,Praesentium unde tempora iste aliquid eaque iste.
47,66,1879,2,Eius consequuntur error consectetur libero natus tenetur.
48,625,2764,2,Saepe consequatur repellat sint.
49,353,3433,3,Quae impedit aliquid doloribus voluptatum aut.
50,143,2094,2,Distinctio tempora accusamus fuga nesciunt dolore officiis iure.
51,932,2700,4,Incidunt beatae officiis ducimus mollitia ratione.
52,807,3974,2,Totam ab architecto reprehenderit vitae.
53,465,3783,1,Eligendi incidunt corporis voluptatibus.
54,941,188,5,Et vitae molestias repellat doloremque quos molestias blanditiis.
55,264,3583,3,Explicabo nihil tempore eaque ut.
56,79,3575,3,Laboriosam laudantium dolores quibusdam commodi.
57,690,89,4,Eaque hic adipisci ipsam unde.
58,665,1901,1,Ex tempore atque excepturi molestias.
59,953,2956,2,Commodi voluptate neque repellat.
60,973,1233,2,Quasi molestiae voluptate tempora dignissimos quas accusantium.
61,982,2536,5,Cupiditate illum maiores laborum aliquam maiores fugit.
62,114,191,2,Rem animi consequatur hic ipsum nulla.
63,337,2995,1,Architecto impedit excepturi eum omnis optio.
64,831,1158,1,Inventore officiis aliquid minima nostrum incidunt.
65,497,3766,3,Id enim iure blanditiis.
66,661,2293,4,Et repellendus tempore dignissimos numquam atque alias.
67,47,3530,1,Laboriosam assumenda magni eum.
68,539,3618,3,Sapiente culpa id eaque nesciunt cum ipsam.
69,529,4335,5,In animi quibusdam ea perspiciatis aperiam.
70,201,2356,2,Voluptate velit pariatur veniam fuga quaerat.
71,21,3609,4,Perspiciatis at optio amet.
72,658,2984,2,Reprehenderit tenetur fugit nemo dolore corporis at facilis.
73,209,4592,4,Ullam facere itaque.
74,372,754,2,Est ipsa mollitia nam doloribus recusandae.
75,558,3150,1,Itaque recusandae sapiente tenetur laboriosam.
76,457,3825,1,Possimus odit nemo.
77,263,2494,3,Aperiam fugit nemo tenetur cumque explicabo ex.
78,443,2160,5,Occaecati doloremque veniam ducimus ipsa ad architecto.
79,602,4845,5,Veniam architecto sequi aut eum.
80,77,4723,3,Error minima necessitatibus dicta.
81,757,1020,3,Maxime cum quis id hic sunt.
82,591,1573,4,Quaerat illo sunt nihil et.
83,580,4133,2,Ducimus itaque accusamus nemo.
84,349,4544,4,Aspernatur animi cum cumque nemo itaque beatae.
85,122,1795,2,Sit sint nulla cum iusto placeat fugit.
86,390,1517,4,Nihil assumenda accusantium reprehenderit possimus ut.
87,466,4962,2,Nam soluta a voluptatem.
88,356,3387,5,Error sunt doloremque cum.
89,352,2786,3,Aspernatur ex doloremque.
90,390,2502,2,Aliquid qui labore modi non rem nisi.
91,389,583,3,Animi delectus sequi dolorum aliquid iusto.
92,582,2421,1,Facilis laudantium hic reprehenderit odio voluptas.
93,412,3816,5,Cumque numquam dolores tempora eveniet.
94,435,4432,1,Sapiente temporibus excepturi molestiae aliquam odio soluta mollitia.
95,976,3533,2,Eveniet ipsum cumque consectetur rem.
96,130,3752,5,Eligendi consequatur eveniet.
97,508,434,2,Veniam consequuntur autem dignissimos consequatur magnam.
98,423,4074,3,Alias impedit doloremque hic tempore earum consectetur.
99,217,4538,5,Excepturi quisquam ea sapiente tempore officia culpa.
100,257,1633,3,Recusandae modi accusamus porro cupiditate atque commodi impedit.
101,337,3016,3,Corporis et iure maiores maxime esse.
102,878,3634,3,Laborum rerum molestiae nisi natus dolorum aliquid.
103,404,3053,2,Delectus recusandae tempore libero.
104,715,132,4,Maxime sint necessitatibus nihil labore.
105,260,2500,5,Ad nam accusantium.
106,414,479,4,Beatae dolores est ipsa labore voluptate quae quod.
107,350,1111,4,Dolore facere totam dignissimos ut vero eaque.
108,303,3190,2,Id quam distinctio suscipit occaecati corrupti eius.
109,717,1973,5,Exercitationem alias et quod.
110,822,3183,4,Optio deleniti id aut.
111,865,4827,2,Perspiciatis quidem fuga voluptatibus itaque cum.
