id_cancelamento,id_usuario,motivo,data_cancelamento
1,850,Muito caro,2023-07-26
2,699,Pouco conteúdo,2025-04-12
3,370,Pouco conteúdo,2024-01-02
4,832,Não usa mais,2023-11-24
5,923,Não usa mais,2024-11-27
6,660,Problemas técnicos,2022-06-25
7,547,Não usa mais,2023-05-28
8,930,Muito caro,2022-10-23
9,516,Pouco conteúdo,2022-12-09
10,850,Pouco conteúdo,2023-11-01
11,918,Problemas técnicos,2025-03-21
12,714,Não usa mais,2024-08-04
13,895,Problemas técnicos,2022-06-13
14,429,Não usa mais,2024-09-13
15,158,Não usa mais,2022-11-20
16,257,Não usa mais,2024-09-03
17,18,Pouco conteúdo,2025-03-25
18,848,Pouco conteúdo,2025-01-19
19,168,Problemas técnicos,2022-08-18
20,7,Não usa mais,2022-09-13
21,610,Problemas técnicos,2024-04-04
22,614,Muito caro,2025-01-31
23,718,Pouco conteúdo,2023-05-15
24,910,Pouco conteúdo,2023-12-08
25,439,Muito caro,2022-11-12
26,315,Não usa mais,2022-10-19
27,585,Problemas técnicos,2023-06-13
28,804,Pouco conteúdo,2024-10-18
29,542,Não usa mais,2023-04-09
30,663,Não usa mais,2024-10-24
31,486,Não usa mais,2024-02-28
32,786,Problemas técnicos,2023-01-22
33,596,Problemas técnicos,2024-08-28
34,680,Problemas técnicos,2024-12-09
35,508,Não usa mais,2025-03-11
36,433,Não usa mais,2022-09-11
37,16,Pouco conteúdo,2023-11-05
38,25,Pouco conteúdo,2024-06-11
39,630,Não usa mais,2024-07-08
40,47,Não usa mais,2022-11-08
41,449,Pouco conteúdo,2023-02-09
42,601,Não usa mais,2022-10-21
43,814,Problemas técnicos,2023-05-28
44,375,Não usa mais,2023-11-23
45,225,Pouco conteúdo,2022-10-07
46,16,Problemas técnicos,2024-02-15
47,664,Pouco conteúdo,2023-05-09
48,572,Problemas técnicos,2025-05-07
49,768,Muito caro,2023-06-01
50,913,Problemas técnicos,2023-11-26
51,185,Não usa mais,2024-05-14
52,957,Pouco conteúdo,2024-06-12
53,455,Problemas técnicos,2024-03-24
54,542,Muito caro,2025-04-03
55,482,Problemas técnicos,2023-04-23
56,339,Pouco conteúdo,2023-05-05
57,885,Muito caro,2024-09-07
58,930,Muito caro,2024-02-29
59,588,Não usa mais,2024-02-14
60,411,Muito caro,2022-09-13
61,145,Pouco conteúdo,2024-04-18
62,362,Muito caro,2023-03-01
63,55,Não usa mais,2024-06-20
64,538,Não usa mais,2022-11-15
65,988,Pouco conteúdo,2022-11-13
66,441,Pouco conteúdo,2024-05-22
67,768,Pouco conteúdo,2024-05-28
68,861,Não usa mais,2022-09-02
69,240,Pouco conteúdo,2023-12-07
70,893,Pouco conteúdo,2023-02-05
71,402,Problemas técnicos,2024-01-24
72,774,Muito caro,2024-10-03
73,277,Problemas técnicos,2022-06-18
74,850,Pouco conteúdo,2024-08-01
75,733,Problemas técnicos,2023-06-16
76,545,Problemas técnicos,2022-09-26
77,228,Não usa mais,2023-10-17
78,115,Problemas técnicos,2025-01-13
79,887,Pouco conteúdo,2025-04-20
80,612,Não usa mais,2024-03-11
81,318,Pouco conteúdo,2023-12-22
82,991,Não usa mais,2025-05-18
83,891,Problemas técnicos,2025-03-02
84,445,Pouco conteúdo,2024-01-28
85,84,Não usa mais,2023-11-24
86,986,Não usa mais,2023-06-09
87,317,Muito caro,2022-11-05
88,816,Muito caro,2025-02-18
89,26,Problemas técnicos,2022-12-07
90,506,Não usa mais,2023-07-10
91,996,Pouco conteúdo,2025-03-29
92,473,Não usa mais,2023-11-05
93,251,Problemas técnicos,2023-03-22
94,60,Muito caro,2024-01-21
95,46,Problemas técnicos,2022-10-02
96,857,Não usa mais,2023-02-20
97,710,Problemas técnicos,2022-06-16
98,347,Muito caro,2024-05-14
99,764,Problemas técnicos,2023-10-18
100,313,Não usa mais,2023-03-24
101,684,Não usa mais,2023-08-06
102,654,Muito caro,2025-02-12
103,686,Problemas técnicos,2024-02-26
104,658,Pouco conteúdo,2024-08-22
105,62,Pouco conteúdo,2024-08-18
106,699,Problemas técnicos,2023-08-19
107,668,Pouco conteúdo,2023-03-30
108,774,Problemas técnicos,2024-03-09
109,486,Muito caro,2023-02-23
110,845,Muito caro,2024-03-31
111,815,Problemas técnicos,2022-12-15
112,28,Não usa mais,2025-03-04
113,62,Problemas técnicos,2024-02-12
114,170,Muito caro,2024-09-24
115,870,Problemas técnicos,2024-08-20
116,14,Pouco conteúdo,2023-02-09
117,269,Problemas técnicos,2023-03-14
118,898,Pouco conteúdo,2024-08-16
119,664,Muito caro,2023-10-13
120,749,Problemas técnicos,2024-10-07
121,671,Muito caro,2022-09-05
122,887,Problemas técnicos,2025-01-25
123,150,Não usa mais,2024-02-02
124,936,Muito caro,2022-07-28
125,854,Problemas técnicos,2023-01-30
126,885,Não usa mais,2023-05-19
127,737,Muito caro,2022-11-28
128,935,Problemas técnicos,2022-07-27
129,943,Não usa mais,2023-06-22
130,733,Problemas técnicos,2025-03-09
131,969,Pouco conteúdo,2025-01-23
132,67,Pouco conteúdo,2024-12-27
133,535,Não usa mais,2023-10-26
134,631,Problemas técnicos,2023-01-23
135,687,Problemas técnicos,2023-06-25
136,633,Muito caro,2024-06-28
137,866,Muito caro,2024-02-02
138,131,Pouco conteúdo,2025-03-14
139,604,Problemas técnicos,2025-03-30
140,226,Pouco conteúdo,2022-10-09
141,896,Pouco conteúdo,2025-03-08
142,227,Não usa mais,2022-07-24
143,715,Problemas técnicos,2023-06-19
144,727,Problemas técnicos,2023-12-02
145,138,Não usa mais,2023-01-05
