id_dispositivo,id_usuario,tipo,sistema_operacional
1,416,Notebook,Android
2,278,SmartTV,iOS
3,408,Notebook,Android
4,641,SmartTV,Windows
5,865,Notebook,iOS
6,153,Smartphone,Android
7,183,Tablet,Windows
8,890,Notebook,Android
9,883,Smartphone,iOS
10,146,SmartTV,Android
11,537,Tablet,iOS
12,418,Smartphone,Linux
13,479,Smartphone,Android
14,673,Notebook,Android
15,785,Smartphone,Linux
16,800,SmartTV,Android
17,671,Tablet,Linux
18,171,Smartphone,Linux
19,371,Smartphone,Linux
20,998,Tablet,Windows
21,626,Notebook,Android
22,966,Smartphone,Linux
23,896,Tablet,Linux
24,178,SmartTV,Windows
25,2,Tablet,iOS
26,81,Notebook,Linux
27,25,Smartphone,Android
28,658,Notebook,Linux
29,63,Tablet,Linux
30,633,Tablet,Windows
31,871,SmartTV,Windows
32,69,Tablet,iOS
33,402,SmartTV,Linux
34,523,Tablet,Android
35,629,Tablet,Android
36,123,Tablet,iOS
37,9,Smartphone,Linux
38,701,SmartTV,Android
39,378,SmartTV,Linux
40,337,Notebook,Linux
41,796,Tablet,iOS
42,86,SmartTV,Windows
43,477,Notebook,iOS
44,886,Notebook,Linux
45,870,Smartphone,iOS
46,988,Smartphone,iOS
47,579,Tablet,iOS
48,38,Tablet,Android
49,83,SmartTV,Windows
50,189,Notebook,Android
51,85,SmartTV,iOS
52,288,Notebook,Linux
53,567,Smartphone,Windows
54,731,Smartphone,iOS
55,438,Tablet,Windows
56,64,Notebook,Linux
57,897,Tablet,Linux
58,672,Tablet,Windows
59,124,SmartTV,Windows
60,313,SmartTV,Linux
61,52,Smartphone,iOS
62,332,Smartphone,Android
63,797,Tablet,iOS
64,137,SmartTV,iOS
65,817,Smartphone,iOS
66,667,Notebook,Android
67,717,Smartphone,Linux
68,262,Smartphone,Linux
69,99,Notebook,Linux
70,187,SmartTV,Windows
71,502,SmartTV,Linux
72,960,Tablet,iOS
73,569,Smartphone,Android
74,205,Notebook,iOS
75,47,SmartTV,Android
76,41,Notebook,Android
77,702,Tablet,Windows
78,940,Notebook,Android
79,73,Notebook,iOS
80,959,SmartTV,Android
81,104,SmartTV,Linux
82,666,SmartTV,Linux
83,657,Tablet,Windows
84,218,Notebook,Windows
85,140,Smartphone,Linux
86,389,Smartphone,Linux
87,936,Notebook,iOS
88,844,Tablet,Windows
89,863,SmartTV,Windows
90,764,Smartphone,iOS
91,429,Notebook,Android
92,654,SmartTV,iOS
93,875,Notebook,Linux
94,488,Tablet,Windows
95,147,SmartTV,iOS
96,161,Tablet,Windows
97,47,SmartTV,Android
98,890,Tablet,Android
99,847,Smartphone,iOS
100,443,Notebook,Linux
