id_evento,id_usuario,acao,data_hora
1,756,dislike,2023-02-16 11:35:07
2,184,like,2022-09-29 17:11:13
3,222,play,2023-06-08 01:38:11
4,331,like,2023-09-07 11:01:53
5,952,pause,2022-08-16 13:20:04
6,298,pause,2022-10-26 04:40:25
7,650,play,2025-05-13 21:42:33
8,657,like,2023-08-11 14:11:50
9,744,pause,2025-01-27 11:56:59
10,642,login,2023-01-13 18:36:30
11,475,play,2022-09-20 00:16:52
12,55,login,2025-01-25 00:35:42
13,264,play,2024-03-19 09:45:47
14,794,logout,2024-12-15 05:29:02
15,366,pause,2024-01-15 16:45:10
16,792,like,2024-12-02 18:37:49
17,386,play,2023-06-12 08:48:26
18,225,login,2024-09-05 10:58:22
19,545,login,2023-01-21 05:38:56
20,465,login,2025-03-21 22:11:48
21,65,dislike,2024-12-28 17:41:42
22,22,like,2024-05-22 13:14:49
23,206,logout,2024-01-06 12:09:21
24,906,play,2025-04-09 09:49:34
25,53,play,2022-11-14 18:39:57
26,624,pause,2023-01-17 03:27:02
27,263,pause,2023-05-25 21:32:41
28,724,like,2023-05-12 19:06:43
29,867,pause,2022-12-10 07:12:27
30,744,pause,2023-11-15 14:58:36
31,404,pause,2024-08-02 02:18:19
32,961,pause,2023-09-18 19:16:30
33,276,logout,2024-04-04 18:56:49
34,432,like,2024-02-03 09:33:29
35,606,dislike,2024-12-10 17:09:16
36,258,play,2023-07-19 22:10:49
37,743,login,2024-06-11 09:16:35
38,660,dislike,2023-05-13 06:21:28
39,91,logout,2024-08-26 03:17:47
40,345,play,2023-06-20 11:08:39
41,207,login,2023-06-26 19:26:11
42,724,pause,2022-10-13 12:28:31
43,985,logout,2024-01-17 19:19:23
44,461,login,2024-09-21 15:10:58
45,285,like,2024-12-09 22:16:43
46,513,play,2022-08-16 10:23:32
47,407,logout,2025-05-30 11:16:29
48,10,login,2024-03-09 06:06:19
49,411,dislike,2025-01-23 07:08:01
50,547,login,2023-01-11 14:39:52
51,819,like,2024-08-05 23:32:21
52,69,login,2023-06-29 13:24:43
53,237,dislike,2023-04-06 11:10:15
54,480,pause,2024-04-20 16:15:17
55,95,play,2024-12-31 13:10:07
56,394,play,2025-01-01 00:42:32
57,475,like,2022-10-18 06:07:47
58,104,pause,2022-06-26 00:29:34
59,111,dislike,2025-01-17 21:26:54
60,703,pause,2023-04-08 13:26:04
61,839,pause,2024-07-09 08:14:03
62,110,pause,2023-12-11 22:37:33
63,798,dislike,2024-05-24 21:23:23
64,847,pause,2024-09-11 05:03:51
65,614,like,2024-10-13 20:41:26
66,405,like,2023-04-14 14:34:30
67,36,login,2024-07-30 01:38:08
68,9,pause,2022-10-24 18:24:24
69,217,pause,2023-11-05 13:45:40
70,70,login,2024-09-28 16:25:17
71,718,login,2023-10-25 07:03:10
72,161,pause,2024-06-14 04:48:20
73,135,play,2025-03-06 19:17:05
74,598,dislike,2022-07-10 05:54:57
75,968,pause,2024-08-12 19:25:21
76,763,like,2024-09-08 11:11:33
77,191,pause,2024-12-29 21:50:50
78,358,pause,2025-05-14 22:48:15
79,437,like,2023-07-04 16:17:16
80,244,login,2023-05-20 16:25:13
81,849,pause,2024-09-07 00:19:29
82,776,logout,2024-08-11 04:48:16
83,496,like,2023-10-14 14:21:56
84,886,pause,2023-03-11 17:45:37
85,139,dislike,2022-08-03 00:37:13
86,457,pause,2023-11-22 11:57:37
87,63,pause,2024-09-02 12:07:44
88,258,pause,2022-08-21 11:12:07
