id_favorito,id_usuario,id_video,data_favorito
1,817,277,2024-07-01 19:19:03
2,954,552,2024-08-08 14:57:42
3,889,1272,2023-06-26 14:06:49
4,4,1198,2025-06-05 08:55:14
5,814,4913,2024-08-23 01:34:43
6,431,3666,2023-04-15 09:13:30
7,853,2024,2025-02-16 21:16:04
8,113,1079,2024-07-27 18:46:49
9,458,937,2023-01-13 08:11:55
10,201,4525,2023-11-18 01:11:24
11,374,4291,2025-03-19 15:33:01
12,925,3836,2022-07-01 17:32:12
13,580,890,2022-08-02 16:32:36
14,610,1619,2024-08-24 04:04:20
15,567,2289,2024-02-27 02:25:11
16,365,2503,2023-07-11 18:31:58
17,189,1267,2024-03-20 12:23:41
18,644,9,2024-03-24 01:40:17
19,19,4436,2024-06-26 03:40:07
20,749,941,2023-01-31 09:20:01
21,564,479,2025-01-23 18:46:44
22,498,3625,2024-03-20 22:37:00
23,55,549,2024-11-06 11:15:35
24,560,4786,2024-04-18 21:58:19
25,844,4914,2022-09-07 06:56:12
26,132,2152,2022-11-03 06:03:25
27,136,2715,2025-01-19 21:35:30
28,200,1158,2022-10-20 08:16:26
29,709,1262,2023-02-27 20:14:57
30,93,2519,2022-12-05 06:31:05
31,93,2978,2023-04-01 07:53:00
32,734,3039,2024-07-03 08:31:38
33,739,1252,2024-08-12 04:26:11
34,147,3627,2024-03-11 03:27:53
35,549,1138,2023-05-13 12:07:58
36,334,3138,2022-09-19 20:08:25
37,502,2327,2023-08-01 03:25:28
38,473,2532,2023-07-10 03:40:25
39,880,4588,2025-04-09 10:54:46
40,360,1698,2023-03-02 10:01:41
41,562,1095,2025-03-30 09:17:50
42,239,1165,2023-09-29 07:16:48
43,920,1911,2025-05-20 07:45:16
44,224,1776,2023-07-05 17:15:17
45,333,1039,2023-01-06 15:33:51
46,67,3150,2023-02-10 18:19:28
47,490,4496,2025-04-13 17:20:50
48,140,3386,2024-02-21 02:59:24
49,375,620,2024-05-04 09:26:47
50,781,4560,2023-04-17 20:38:31
51,619,1919,2025-03-04 04:03:58
52,643,2953,2023-06-04 05:51:29
53,403,2728,2025-04-10 14:57:27
54,996,2046,2022-08-03 14:22:05
55,357,4996,2024-07-11 07:45:57
56,63,988,2025-02-16 09:43:42
57,294,4442,2023-10-30 12:59:00
58,639,1853,2023-11-06 11:47:59
59,994,759,2024-12-02 04:58:32
60,476,2180,2024-05-01 09:49:39
61,4,3795,2023-01-19 15:38:06
62,473,4262,2024-06-20 12:45:44
63,487,601,2024-09-30 15:53:42
64,588,4880,2022-10-25 05:42:15
65,767,2865,2024-09-04 15:47:11
66,256,2783,2022-06-19 21:10:44
67,874,1349,2022-09-01 05:07:31
68,587,387,2024-12-20 17:51:03
69,193,2776,2024-10-31 08:10:13
70,91,4772,2024-08-02 02:02:22
71,415,2570,2023-12-26 08:40:54
72,567,2929,2024-09-30 05:04:59
73,900,2432,2024-09-03 08:24:51
74,746,471,2025-04-03 09:42:14
75,512,4404,2025-04-18 17:39:08
76,997,4687,2024-07-26 02:06:57
77,73,3580,2023-08-08 13:42:23
78,163,796,2023-05-03 00:03:31
79,846,2573,2024-09-28 09:53:00
80,163,1072,2022-09-20 00:48:45
81,846,4135,2023-04-03 05:36:35
82,312,4257,2023-06-13 03:59:20
83,806,4426,2023-02-10 23:51:43
84,774,4878,2024-09-05 14:38:50
85,225,2965,2024-04-05 13:16:09
86,733,2648,2023-08-29 10:29:36
87,38,3040,2023-08-22 11:38:34
88,485,2909,2022-11-23 07:08:09
89,804,4268,2023-03-21 00:01:50
90,804,2941,2023-09-10 02:46:10
91,756,3515,2023-12-11 10:58:21
92,72,3178,2024-10-03 00:02:28
93,143,1089,2025-04-14 11:57:17
94,900,2691,2023-01-17 22:58:21
95,888,828,2023-10-12 19:00:02
96,478,4671,2023-07-23 02:30:28
97,927,2451,2023-01-30 03:30:30
98,507,3909,2024-05-18 15:11:26
99,343,4384,2024-10-19 15:17:15
100,599,2437,2024-09-04 23:47:55
101,675,509,2024-02-04 10:02:24
102,824,4288,2024-01-25 06:18:36
103,153,1497,2022-07-16 20:08:23
104,928,1894,2023-10-15 22:30:48
105,140,4658,2024-10-07 08:49:59
106,404,1628,2025-02-01 21:24:24
107,760,636,2022-08-27 20:28:14
108,221,4175,2022-10-18 20:15:02
109,757,3969,2023-11-29 00:30:13
110,888,815,2023-11-08 18:27:37
111,728,3379,2022-09-01 13:32:52
112,464,2786,2023-11-07 08:29:00
113,484,4975,2025-06-03 23:01:28
114,656,688,2024-06-14 07:51:55
115,751,858,2025-02-08 09:06:03
116,928,886,2023-05-15 17:23:39
117,561,1135,2023-01-08 06:49:18
118,299,1638,2023-07-20 20:11:35
119,12,614,2022-12-03 05:59:30
120,942,1242,2025-02-10 14:19:57
