id_pagamento,id_usuario,valor,data_pagamento
1,516,19.9,2024-10-18
2,865,29.9,2025-01-20
3,235,39.9,2023-02-12
4,530,19.9,2023-03-14
5,764,29.9,2022-07-08
6,737,39.9,2024-12-27
7,577,39.9,2024-07-06
8,753,39.9,2022-09-28
9,905,29.9,2024-07-22
10,291,29.9,2023-06-06
11,899,39.9,2022-11-29
12,965,19.9,2023-11-01
13,977,39.9,2023-06-25
14,332,29.9,2024-11-18
15,474,29.9,2023-03-20
16,827,19.9,2024-02-15
17,694,39.9,2022-08-10
18,423,29.9,2023-11-07
19,411,39.9,2023-10-16
20,897,19.9,2022-09-22
21,257,39.9,2024-04-20
22,24,19.9,2024-06-30
23,883,29.9,2025-05-09
24,964,19.9,2024-04-22
25,792,39.9,2024-12-05
26,148,19.9,2025-03-05
27,254,29.9,2022-09-04
28,803,29.9,2024-08-02
29,829,39.9,2023-06-01
30,671,39.9,2024-05-15
31,448,19.9,2025-02-22
32,530,19.9,2024-07-01
33,781,19.9,2024-02-19
34,229,29.9,2024-11-14
35,721,29.9,2024-07-15
36,866,39.9,2023-12-22
37,165,39.9,2024-04-01
38,842,39.9,2023-08-21
39,235,29.9,2025-03-21
40,458,39.9,2023-06-06
41,715,19.9,2024-07-11
42,69,19.9,2025-04-08
43,56,29.9,2023-01-19
44,61,19.9,2023-11-13
45,666,39.9,2023-09-01
46,813,29.9,2023-05-31
47,667,19.9,2023-04-30
48,180,39.9,2024-08-12
49,859,39.9,2023-08-09
50,386,29.9,2024-02-06
51,574,19.9,2022-06-25
52,116,29.9,2024-10-01
53,60,39.9,2025-03-08
54,83,39.9,2024-06-14
55,418,19.9,2023-09-03
56,755,29.9,2023-10-18
57,36,39.9,2025-01-12
58,280,19.9,2023-12-25
59,845,39.9,2025-05-09
60,92,29.9,2024-04-11
61,683,29.9,2023-03-21
62,825,29.9,2023-05-18
63,858,19.9,2023-06-02
64,381,29.9,2024-01-31
65,418,29.9,2023-06-23
66,746,29.9,2022-11-10
67,356,29.9,2023-06-07
68,155,39.9,2024-06-26
69,222,39.9,2023-08-13
70,33,19.9,2025-01-25
71,702,19.9,2022-09-13
72,673,19.9,2023-05-15
73,915,29.9,2023-12-04
74,657,29.9,2022-12-30
75,180,19.9,2023-07-14
76,632,19.9,2024-05-10
77,230,29.9,2023-07-14
78,991,19.9,2025-02-25
79,154,19.9,2022-11-23
80,752,39.9,2022-10-31
81,523,29.9,2025-03-13
82,249,19.9,2025-03-24
83,131,29.9,2024-11-18
84,62,39.9,2025-05-17
85,872,19.9,2023-09-21
86,563,39.9,2024-02-22
87,915,39.9,2025-03-11
88,437,39.9,2022-11-04
89,436,19.9,2024-01-02
90,223,39.9,2025-04-09
91,741,19.9,2023-12-24
92,114,29.9,2024-06-21
93,78,29.9,2023-11-10
94,40,29.9,2022-09-26
95,96,29.9,2024-05-18
96,318,29.9,2024-05-06
97,402,29.9,2023-08-20
98,281,19.9,2025-03-30
99,140,39.9,2022-09-05
100,884,29.9,2023-10-30
101,897,19.9,2024-10-07
102,20,39.9,2023-12-21
103,174,19.9,2025-03-31
104,278,39.9,2025-03-22
105,183,19.9,2024-03-08
106,619,29.9,2025-01-20
107,38,19.9,2023-11-27
108,646,39.9,2024-04-17
109,272,39.9,2024-11-28
110,278,19.9,2023-11-25
111,977,19.9,2022-12-17
112,735,29.9,2023-04-23
113,853,39.9,2023-12-01
114,370,29.9,2024-02-16
115,452,29.9,2024-10-04
116,889,39.9,2024-07-26
117,830,29.9,2024-06-09
118,368,39.9,2025-02-11
119,16,29.9,2023-04-14
120,530,29.9,2022-09-29
