id_video,titulo,duracao,id_genero
1,Esse explicabo error.,151,1
2,Pariatur aliquam ad.,160,4
3,Tempora.,105,2
4,Porro laboriosam atque.,119,4
5,A quisquam.,65,5
6,Blanditiis.,82,5
7,Eaque cum.,163,3
8,Quasi aut.,155,4
9,Optio ipsam iste.,101,3
10,Animi pariatur nemo.,140,4
11,Accusamus.,154,5
12,Nulla aliquam dicta.,60,3
13,Vero.,158,4
14,Officiis distinctio.,135,2
15,Perferendis consequuntur.,69,4
16,Similique deleniti adipisci.,171,4
17,Facere dolorem.,128,4
18,Laborum omnis.,154,3
19,Dolore sequi expedita.,136,1
20,Eum ex a.,83,3
21,Reprehenderit accusamus.,157,1
22,Quibusdam provident exercitationem.,64,4
23,Perferendis.,130,2
24,Distinctio ducimus.,174,1
25,Sunt inventore natus.,121,1
26,Cum a.,87,2
27,Labore a saepe.,153,3
28,Architecto consequatur labore.,67,3
29,Atque ad voluptates.,123,3
30,Rerum fugiat voluptates.,120,1
31,Aliquam similique.,175,4
32,Consequuntur quaerat autem.,169,3
33,Magnam ducimus quidem.,70,5
34,Laborum velit eius.,114,3
35,Sit animi mollitia.,81,1
36,Magni soluta explicabo.,159,5
37,Repellendus ad.,113,4
38,Repellat et.,139,3
39,Id esse voluptates.,108,1
40,Nesciunt provident occaecati.,111,3
41,Quaerat impedit.,110,5
42,Veniam tempora fuga.,135,1
43,Vel laudantium veritatis.,95,5
44,Totam porro.,126,2
45,Asperiores.,104,1
46,Nisi id.,139,3
47,Corrupti tempore possimus.,167,1
48,Deleniti quos.,139,5
49,Excepturi tempora.,99,5
50,Architecto iste molestiae.,158,1
51,Omnis consequuntur similique quibusdam.,176,3
52,Officia numquam velit.,111,5
53,Aut voluptatem sapiente.,139,1
54,Exercitationem doloremque.,104,5
55,Deserunt corrupti nulla.,165,1
56,Fugiat quia quaerat.,106,4
57,Repellat quam.,133,2
58,Delectus quibusdam reiciendis.,100,4
59,Quidem nulla.,174,4
60,Voluptates fugit facilis.,117,2
61,Rem totam.,67,1
62,Perspiciatis culpa repudiandae.,177,2
63,Ipsa sunt.,98,4
64,Porro porro ipsum.,138,1
65,Nobis ab doloremque.,83,4
66,Delectus inventore aut ipsa.,84,2
67,Iusto quidem officiis.,160,5
68,Fugiat.,70,3
69,Ipsam fugit ullam.,177,2
70,Tempora at voluptatibus.,91,2
71,Rem nobis.,90,3
72,Cupiditate animi ab.,166,1
73,Facilis in dolorem.,142,1
74,Eius maxime autem.,114,3
75,Et eos.,135,3
76,Repudiandae qui quae.,178,3
77,Quod doloribus.,163,1
78,Dicta cupiditate.,95,4
79,Officia voluptas.,83,4
80,A nisi amet.,174,1
81,Animi inventore sunt.,104,4
82,Tempore inventore vel.,118,4
83,Est quaerat ipsum.,73,5
84,Cumque repudiandae facere.,164,1
85,Quam quo consequatur.,138,4
86,Enim nam ducimus rerum.,144,2
87,Deserunt illo vero.,143,2
88,Dolore soluta eaque.,100,4
89,Unde maiores commodi.,169,5
90,Laboriosam ipsa.,134,3
91,Laborum.,136,3
92,Possimus quos odit.,72,1
93,Eius pariatur dolorem.,102,1
94,Illum sequi.,68,5
95,Voluptatum voluptate sed.,98,3
96,Facilis ullam.,165,4
97,Error quos enim.,175,2
98,Assumenda.,156,4
99,Veritatis expedita.,136,1
100,Quam nulla dolores.,134,3
101,Maxime impedit commodi.,123,2
102,Officiis unde doloremque.,63,2
103,Temporibus illo.,62,3
104,Magni.,166,5
105,Eaque voluptates provident.,158,3
106,Reprehenderit temporibus sint.,60,5
107,Odio voluptates aut.,174,3
108,Eius similique porro.,157,5
109,Alias dignissimos omnis quas.,114,3
110,A sunt.,79,5
111,Eos possimus et.,77,4
112,Repellendus aliquam debitis.,115,5
113,Quasi.,177,2
114,Recusandae eligendi.,116,1
115,Ullam aliquam.,131,1
116,Iusto minus velit ad.,155,5
117,Praesentium quos.,66,1
118,Quisquam tempora.,97,5
119,Maxime culpa non.,123,5
120,Nam aliquam doloremque eum.,118,4
121,Quisquam provident.,164,5
122,Placeat veritatis.,123,1
123,Tempore ipsam ipsa.,137,1
124,Aliquam dicta deleniti.,91,5
125,Animi nostrum soluta.,106,2
126,Sed soluta.,66,3
127,Illo animi quod.,67,5
128,Inventore odio blanditiis.,72,2
129,Corporis enim.,67,3
130,Illo totam.,131,4
131,Repellat.,178,1
132,Modi quos quo.,116,4
133,Nulla ipsam quasi repellat.,137,5
134,Temporibus consectetur.,71,2
135,Cumque veritatis.,170,5
136,Quam.,163,1
137,Dignissimos nam.,82,1
138,Numquam hic.,77,1
139,Quisquam.,123,5
140,Omnis.,164,3
141,Repellendus atque.,60,5
142,Dolor inventore voluptas eaque.,81,1
143,Occaecati quam incidunt.,82,1
144,Error suscipit in incidunt.,127,3
145,Ad.,147,5
146,Sunt voluptatem in.,76,5
147,Aperiam eaque porro.,98,1
148,Mollitia adipisci deserunt.,65,4
149,Blanditiis accusamus.,66,1
150,Reprehenderit repellat laborum.,140,3
151,Cum amet repudiandae repellendus.,94,5
152,Corrupti debitis veritatis modi.,84,4
153,Non doloremque.,119,2
154,Consequatur quibusdam facilis.,108,1
155,Esse est sunt.,123,4
156,Laudantium deleniti.,109,3
157,Aspernatur.,80,5
158,Illo itaque.,176,2
