id_visualizacao,id_usuario,id_video,data_hora
1,53,2941,2025-01-28 04:16:21
2,640,930,2024-09-18 04:46:19
3,354,2636,2023-06-21 12:43:32
4,83,202,2023-12-12 04:01:52
5,887,4028,2025-02-21 17:43:32
6,901,356,2023-01-24 15:28:38
7,262,314,2022-10-01 16:16:27
8,806,1209,2025-04-17 10:28:29
9,294,3556,2024-06-11 04:33:44
10,69,1319,2024-10-14 06:50:24
11,458,2723,2024-01-28 08:14:06
12,802,1207,2024-04-15 12:40:28
13,294,3964,2024-01-28 10:55:08
14,521,1009,2025-03-03 15:01:10
15,971,4849,2025-05-04 01:58:12
16,827,4085,2023-10-29 23:26:35
17,357,3039,2022-06-27 23:19:01
18,893,3641,2023-11-05 13:58:03
19,170,2023,2023-12-16 15:51:12
20,398,4929,2022-08-03 00:43:46
21,269,297,2022-12-22 11:42:33
22,422,1342,2022-07-07 08:29:26
23,387,2795,2025-05-24 12:21:29
24,661,2909,2023-06-11 20:41:18
25,237,3973,2023-02-07 17:45:11
26,357,1451,2022-09-25 19:18:47
27,318,3523,2025-01-19 07:24:22
28,916,4937,2025-02-20 11:35:00
29,765,3717,2024-08-20 19:03:35
30,138,789,2024-07-04 00:30:59
31,513,3132,2022-10-14 22:33:35
32,473,437,2022-06-23 04:18:51
33,265,1824,2023-04-22 21:56:55
34,36,1830,2024-04-03 18:15:41
35,965,667,2023-01-31 17:03:35
36,219,1308,2024-11-26 20:56:35
37,494,4526,2022-09-11 20:52:48
38,182,2194,2025-04-14 09:19:49
39,762,2518,2023-08-27 23:30:08
40,974,4375,2022-07-04 01:26:44
41,768,1183,2024-08-26 08:34:08
42,843,4820,2025-01-25 10:27:11
43,145,98,2022-12-09 13:13:11
44,982,929,2023-04-21 08:48:15
45,893,839,2023-02-06 03:39:05
46,665,4092,2022-10-20 22:57:58
47,645,4625,2022-12-06 20:12:27
48,82,2729,2025-02-12 11:55:42
49,894,1207,2025-02-01 05:49:51
50,70,3679,2023-06-18 21:35:26
51,449,3041,2022-09-09 06:39:36
52,311,2602,2024-10-18 04:57:10
53,668,310,2023-07-02 02:32:46
54,657,2101,2024-10-24 19:42:54
55,166,3506,2024-11-17 07:43:19
56,271,911,2024-02-13 23:38:59
57,785,1863,2023-08-28 03:29:31
58,436,1188,2024-06-24 16:13:51
59,812,4517,2022-09-15 15:25:47
60,787,3300,2024-09-10 21:17:19
61,10,3827,2023-08-19 06:15:01
62,359,2162,2025-02-19 04:38:08
63,350,2589,2025-04-16 02:18:00
64,145,2185,2023-03-05 23:03:37
65,965,3016,2024-04-10 19:34:03
66,166,1102,2022-08-04 16:09:36
67,434,2677,2024-12-22 05:37:34
68,102,945,2023-03-13 22:08:40
69,567,4769,2023-11-18 08:48:51
70,273,2540,2022-11-28 18:33:15
71,647,2124,2025-04-07 21:54:23
72,110,2431,2025-06-10 19:08:51
73,163,3009,2024-07-23 03:10:40
74,524,443,2023-03-16 08:45:38
75,65,2608,2022-10-04 11:27:03
76,158,1179,2022-11-19 01:42:23
77,157,3978,2025-01-04 00:24:17
78,791,4944,2022-11-01 01:58:15
79,632,1886,2024-05-12 03:01:45
80,951,3144,2024-11-26 21:48:03
81,33,4545,2024-11-08 00:27:44
82,24,4379,2024-03-22 14:36:05
83,944,1926,2024-05-25 10:10:20
84,191,1887,2023-07-20 07:30:01
85,199,3563,2025-03-15 22:47:37
86,208,4956,2025-06-06 10:18:25
87,294,2005,2024-04-07 23:26:39
88,459,4410,2024-05-05 23:51:12
89,874,1428,2023-04-04 03:27:52
90,244,2991,2023-12-11 18:15:02
91,556,3496,2023-03-25 12:34:07
92,556,992,2025-02-14 14:20:57
93,104,3592,2024-02-16 21:39:54
94,433,367,2024-05-08 16:31:09
95,156,216,2025-03-01 06:58:51
96,323,999,2023-03-14 22:51:47
97,139,2833,2024-09-01 20:45:28
98,150,3213,2024-07-25 09:12:02
99,197,1119,2022-09-06 06:11:56
100,419,1498,2023-01-16 18:00:58
101,653,827,2024-01-30 20:12:37
102,586,2176,2024-04-04 15:33:29
103,293,1688,2025-02-09 03:49:00
104,318,4949,2024-02-12 02:38:58
105,363,873,2024-07-31 09:31:13
106,366,3210,2023-01-26 04:25:24
107,514,4649,2024-06-19 07:25:24
108,164,2858,2024-12-27 11:24:40
109,176,4500,2023-11-22 21:40:18
110,243,10,2025-03-05 16:55:15
111,714,2117,2023-02-21 08:07:50
112,301,1864,2024-12-17 12:07:16
113,287,3174,2023-06-26 19:37:28
114,61,4450,2023-10-14 04:29:29
115,450,3924,2023-05-30 20:49:19
116,501,2202,2022-08-18 23:30:06
117,887,3521,2024-08-28 03:44:15
118,803,3731,2024-01-04 02:23:39
119,874,2977,2025-01-11 08:10:17
120,313,4399,2023-11-29 11:39:32
121,790,172,2023-09-12 14:04:37
122,872,3283,2024-05-09 07:08:03
123,563,924,2024-07-25 06:23:52
124,656,1451,2023-06-24 20:29:23
125,773,753,2023-12-25 13:33:29
126,463,323,2023-01-04 13:14:27
127,999,4391,2023-03-27 16:46:47
128,852,365,2024-02-21 20:39:48
129,839,1288,2022-10-11 14:25:49
130,137,2354,2022-09-27 15:04:41
131,827,4588,2022-08-15 15:20:17
132,130,4752,2022-07-09 21:49:47
133,765,3425,2022-09-04 20:30:19
134,34,621,2025-05-18 06:06:28
135,325,2461,2023-08-06 10:56:24
136,136,1149,2024-02-09 02:44:41
137,945,4699,2022-11-06 12:40:26
138,586,2675,2024-02-19 14:24:51
139,428,2395,2023-11-06 14:27:26
140,259,4501,2023-07-07 23:56:17
141,550,1440,2023-04-22 15:29:30
142,894,464,2022-06-29 01:16:50
143,820,1627,2023-01-13 01:03:32
144,114,1674,2024-01-07 05:44:27
145,138,2102,2023-06-21 04:11:12
146,486,3685,2022-12-30 19:46:37
147,910,962,2022-08-08 00:50:16
148,298,4264,2022-11-12 23:50:16
149,909,100,2024-11-10 22:16:38
150,451,578,2023-02-01 02:39:51
151,524,3902,2023-04-04 12:05:48
152,521,3612,2024-03-12 00:09:55
153,166,2640,2023-11-21 10:51:34
154,144,3520,2024-01-04 08:02:06
155,626,2934,2022-08-15 17:22:19
156,764,2931,2024-10-18 03:03:05
157,431,4104,2024-04-20 03:20:29
158,847,2742,2024-07-23 15:52:11
159,269,3320,2024-05-26 18:55:58
160,587,284,2023-11-19 12:10:02
161,418,1019,2024-07-11 10:03:07
162,50,3623,2025-04-19 18:35:41
163,511,905,2023-12-12 00:09:06
164,595,121,2023-06-28 09:08:13
165,718,1718,2022-06-24 10:06:22
166,14,1414,2024-07-13 02:07:20
167,472,4294,2023-01-05 18:13:08
168,917,4500,2024-10-20 11:13:44
169,79,3021,2024-05-19 07:34:02
170,607,1229,2023-07-19 07:40:41
171,11,1154,2023-01-03 09:55:27
172,548,3817,2025-02-08 19:47:05
173,146,4196,2024-01-23 05:04:22
174,825,2002,2025-02-07 15:25:39
175,332,3684,2025-02-02 19:45:09
176,335,1166,2025-03-08 21:19:36
177,77,2535,2022-07-30 17:05:47
178,640,3138,2024-05-15 07:44:37
179,635,1034,2023-12-06 05:03:14
180,126,2500,2023-01-26 03:17:05
181,23,894,2022-07-14 09:08:48
182,63,3029,2023-08-08 09:05:40
183,830,1127,2023-07-18 11:33:34
184,845,4304,2022-11-11 18:21:29
185,93,1346,2023-09-04 01:47:10
186,167,3118,2023-11-18 13:10:06
187,59,1652,2024-12-25 16:46:32
188,581,3638,2023-04-16 21:41:25
189,704,441,2023-05-25 06:16:58
190,387,3693,2024-12-18 04:01:52
191,180,4955,2023-06-26 14:47:56
192,77,2579,2023-10-14 02:51:05
193,546,4556,2023-12-06 08:11:46
194,639,4405,2024-04-14 13:24:29
195,44,1455,2024-08-24 07:36:58
196,553,3552,2024-07-21 00:56:08
197,173,2467,2025-04-04 12:49:26
198,258,4576,2022-11-02 09:03:53
199,441,2602,2022-10-05 04:17:07
200,830,2489,2024-11-04 13:34:21
201,759,137,2025-02-18 09:00:34
202,199,2189,2024-11-18 11:17:12
203,484,2245,2024-04-18 23:16:38
204,126,2646,2023-11-03 02:28:37
205,11,4250,2022-12-31 04:17:37
206,965,3088,2024-06-16 22:23:36
207,796,1584,2023-12-20 01:13:50
208,330,3476,2025-06-07 08:00:03
209,9,1434,2023-04-20 19:16:58
210,180,2842,2024-10-16 07:58:32
211,481,1856,2023-02-01 22:38:39
212,375,1619,2024-04-11 01:20:30
213,514,258,2024-08-04 11:47:00
214,135,3353,2024-10-07 19:21:22
215,796,4334,2024-02-01 14:08:01
216,493,3826,2024-10-25 19:18:20
217,165,3537,2023-02-07 00:10:58
218,982,3435,2022-07-14 05:17:48
219,831,1036,2024-04-13 14:27:25
220,783,1650,2022-08-02 13:26:59
221,358,3842,2024-04-05 13:02:10
222,664,130,2024-11-16 06:29:39
223,780,3661,2024-07-24 10:01:21
224,683,4304,2024-03-22 00:58:37
225,484,3185,2025-05-29 00:27:17
226,993,835,2025-02-24 04:16:20
227,659,3139,2022-12-07 22:09:32
228,117,4503,2024-09-24 03:14:38
229,991,2574,2025-01-14 01:14:49
230,750,1107,2022-12-28 14:45:32
231,977,4321,2022-07-21 12:23:46
232,341,4714,2023-03-19 21:16:55
233,148,3046,2023-03-08 15:00:58
234,837,3333,2023-11-09 01:32:48
235,10,1090,2024-02-09 23:53:39
236,758,95,2022-12-31 04:28:21
237,959,3928,2024-10-16 03:47:13
238,380,1847,2022-08-22 13:23:06
239,613,2525,2025-03-21 06:48:09
240,61,4422,2024-11-13 10:58:02
241,167,1156,2022-08-28 04:25:07
242,533,1742,2025-04-26 03:11:57
243,826,2320,2024-06-05 14:14:12
244,803,1656,2023-11-11 15:30:40
245,624,3350,2022-08-01 07:44:39
246,220,1188,2023-09-15 11:34:49
247,415,4957,2022-10-22 01:05:46
248,562,4577,2024-02-11 10:36:29
249,609,4923,2024-10-29 03:09:44
250,61,1499,2024-03-07 08:33:32
251,590,2577,2023-12-02 08:16:09
252,601,1889,2025-05-07 10:14:16
253,751,2992,2022-11-16 20:44:42
254,993,3864,2023-06-04 15:24:06
255,562,4762,2023-05-15 13:33:12
256,538,3204,2025-03-05 00:32:27
257,914,494,2023-10-01 21:32:15
258,913,254,2023-08-18 06:20:11
259,260,2372,2024-05-09 20:40:58
260,129,1397,2024-04-03 22:50:20
261,92,2861,2022-11-25 15:42:48
262,63,167,2025-05-24 13:52:22
263,770,3403,2023-04-20 11:23:10
264,727,4816,2022-11-03 17:08:03
265,173,13,2024-03-12 17:36:52
266,704,4076,2022-10-31 18:35:06
267,835,4139,2025-05-13 14:54:57
268,738,1296,2024-10-31 02:52:20
269,544,3081,2025-02-05 12:32:57
270,283,3817,2024-07-17 13:26:09
271,244,4535,2023-12-26 11:06:53
272,314,2918,2025-04-25 05:51:28
273,352,1389,2024-05-26 07:56:29
274,115,2861,2023-02-11 10:53:51
275,222,2447,2023-05-04 05:18:57
276,581,1431,2025-03-14 21:07:31
277,786,3735,2025-02-12 15:36:48
278,137,2883,2024-09-09 11:26:01
279,185,2565,2024-10-23 10:03:21
280,771,1424,2022-07-25 02:26:53
281,687,1386,2024-05-10 00:05:54
282,87,2970,2023-06-14 12:20:13
283,522,1332,2024-02-27 20:58:33
284,451,9,2022-09-07 20:05:57
285,60,1166,2022-08-19 03:14:22
286,59,1722,2024-03-24 22:26:23
287,742,3597,2024-06-13 12:30:07
288,56,504,2023-10-25 16:11:16
289,603,3537,2022-11-27 14:32:55
290,446,2536,2023-07-16 16:52:00
291,165,1652,2023-12-21 00:02:47
292,639,4738,2024-02-01 06:33:43
293,197,1227,2022-08-05 09:40:23
294,835,4592,2022-08-28 20:38:31
295,955,1831,2024-03-20 12:53:30
296,907,3844,2022-12-09 10:15:36
297,797,845,2024-06-24 15:46:17
298,305,749,2024-05-05 11:14:25
299,668,112,2024-10-03 18:45:14
300,453,3615,2024-10-09 22:35:52
301,250,3373,2024-03-10 05:17:09
