id_avaliacao,id_usuario,id_video,nota,comentario
1,811,276,2,Iste debitis ducimus dolor cumque praesentium.
2,736,3545,1,Commodi itaque accusantium quis deserunt eaque.
3,126,2026,2,Cupiditate nesciunt culpa quibusdam porro molestiae officia.
4,204,4245,3,Soluta fugiat minima amet blanditiis.
5,228,616,4,Quidem aperiam non provident nemo.
6,179,3971,2,Maiores maxime sunt earum similique veniam ad magni.
7,475,1373,4,Odit suscipit a rem blanditiis.
8,454,4221,4,Omnis iste temporibus aliquam temporibus nisi officia culpa.
9,580,4045,1,Odit nesciunt eaque eveniet ex sunt assumenda.
10,109,2416,3,Aspernatur non numquam animi autem eos.
11,284,2867,4,Sapiente sint quos ipsam.
12,801,4273,2,Provident eos saepe deserunt ipsum.
13,797,433,5,Culpa molestiae ullam consequatur.
14,38,136,5,Adipisci consectetur rerum at facere maiores.
15,690,4509,5,Nulla omnis debitis.
16,937,4041,1,Error accusamus quam ipsa atque eos recusandae.
17,750,4673,5,Commodi eveniet similique labore dolores aliquam veritatis.
18,516,466,5,Ducimus enim aut excepturi.
19,689,2828,4,Corporis optio laudantium ipsam.
20,828,839,3,Nulla voluptatem omnis aspernatur doloribus veritatis nisi facere.
21,829,4188,5,Perspiciatis tenetur soluta vel eos similique excepturi.
22,21,4033,5,Sequi dicta sit libero eaque eaque.
23,505,1482,2,Fuga ut itaque voluptatibus nesciunt magni deleniti.
24,490,1007,2,Odio laudantium veritatis.
25,996,1547,1,Sequi illum quae vero nihil.
26,836,1120,3,Doloribus praesentium ratione perspiciatis.
27,804,682,5,Pariatur nesciunt delectus recusandae illo.
28,280,4796,2,Natus voluptate at vero at esse.
29,960,4905,4,Dolore asperiores provident ea dolores voluptate dicta.
30,813,3456,1,Natus doloribus voluptates aut architecto.
31,698,887,2,Quisquam consequatur at rerum hic blanditiis placeat recusandae.
32,396,962,2,Perspiciatis maxime ipsam aspernatur voluptatibus.
33,417,4471,2,Hic dolorem excepturi ipsam explicabo.
34,182,3130,5,Exercitationem eligendi totam accusamus quos fuga sit.
35,296,3660,4,Facilis deleniti doloremque.
36,28,2973,3,Ducimus ducimus aperiam expedita maxime.
37,228,1290,3,Fugiat nisi adipisci deleniti ex.
38,554,1635,3,Itaque eius voluptates laboriosam.
39,838,3804,3,Quisquam asperiores nisi nulla autem.
40,816,3799,2,Cum iure aperiam.
41,446,996,2,Eius ullam nobis nesciunt nesciunt pariatur mollitia.
42,319,1016,3,Quia perspiciatis dicta optio magni illo repellendus.
43,621,3930,5,Illum ea cumque consequatur alias.
44,475,3390,4,Accusamus magnam ex praesentium natus odio error.
45,131,260,4,Illum maiores amet.
46,250,4680,1,Fugiat nesciunt voluptate molestiae.
