id_evento,id_usuario,acao,data_hora
1,300,play,2023-09-26 10:38:39
2,180,dislike,2023-11-24 06:35:11
3,612,pause,2023-11-15 00:56:50
4,754,pause,2024-02-06 16:45:13
5,178,like,2024-03-15 02:16:55
6,994,dislike,2024-08-06 14:29:40
7,639,dislike,2022-08-25 05:07:20
8,157,dislike,2023-02-14 07:03:31
9,212,play,2022-09-09 13:03:43
10,356,dislike,2025-04-06 11:28:33
11,760,pause,2023-06-11 16:51:34
12,331,play,2024-02-17 05:14:23
13,784,logout,2024-11-29 08:37:41
14,783,pause,2023-01-30 21:26:24
15,434,login,2022-08-07 20:23:14
16,862,dislike,2024-08-19 11:28:04
17,121,login,2023-07-24 11:34:18
18,405,dislike,2024-07-12 09:53:23
19,288,dislike,2025-01-20 19:21:24
20,443,logout,2024-07-14 10:15:10
21,889,dislike,2025-02-19 09:55:43
22,103,logout,2023-11-28 12:15:55
23,449,dislike,2024-11-29 20:39:03
24,667,logout,2023-07-02 17:11:09
25,438,like,2023-01-28 05:03:09
26,47,play,2024-06-06 06:44:03
27,257,play,2023-01-22 19:31:22
28,639,logout,2023-12-31 08:29:56
29,198,pause,2024-07-30 09:21:30
30,630,login,2025-03-18 16:48:10
31,610,dislike,2024-05-16 10:14:34
32,476,login,2022-11-13 19:43:53
33,589,login,2022-11-08 20:21:09
34,665,dislike,2022-08-19 14:32:27
35,851,login,2023-06-24 14:17:26
36,87,pause,2024-07-01 00:59:32
37,725,login,2023-06-21 18:28:16
38,426,logout,2022-12-30 12:08:26
39,10,logout,2025-04-17 23:43:13
40,24,dislike,2022-07-13 08:48:46
41,355,dislike,2024-01-07 01:51:47
42,987,play,2024-07-11 07:07:15
43,744,login,2023-03-19 15:59:28
44,7,logout,2022-08-27 03:20:56
45,139,login,2024-08-12 17:46:18
46,394,like,2023-10-13 01:18:11
47,161,dislike,2025-04-08 04:29:23
48,667,dislike,2023-12-24 08:25:45
49,412,like,2023-05-26 08:24:23
50,475,dislike,2023-09-20 01:36:59
51,56,pause,2022-12-29 14:24:00
52,333,dislike,2023-12-11 23:10:10
53,690,login,2023-02-04 10:20:22
54,29,dislike,2022-10-20 12:09:15
55,87,play,2025-01-13 12:03:34
56,175,like,2023-03-23 16:07:27
57,777,logout,2023-02-26 20:10:36
58,206,like,2024-05-18 00:48:11
59,319,play,2024-08-14 16:10:40
60,897,like,2023-02-26 23:50:51
61,257,dislike,2024-04-13 03:04:42
62,653,play,2024-03-20 14:32:25
63,684,like,2024-11-03 06:38:20
64,79,login,2024-06-27 13:35:15
65,345,login,2023-05-08 15:33:40
66,981,like,2022-10-11 22:10:25
67,758,logout,2024-01-26 18:02:37
68,791,dislike,2025-02-21 09:13:22
69,326,dislike,2023-12-06 04:25:52
70,156,like,2024-08-13 05:08:07
71,567,dislike,2023-12-24 07:53:57
72,233,login,2024-09-02 04:04:12
73,236,like,2024-01-24 06:59:21
74,104,dislike,2023-04-13 20:31:26
75,745,logout,2022-08-23 15:21:36
76,957,logout,2022-12-22 13:27:11
77,489,login,2023-05-10 06:06:51
78,394,login,2022-08-27 23:27:39
79,160,login,2025-05-19 18:47:22
80,624,like,2023-10-04 17:26:10
81,899,login,2023-04-09 23:46:25
82,450,play,2024-10-29 18:49:52
83,147,pause,2024-10-17 02:55:34
84,105,dislike,2023-12-28 12:07:38
85,507,like,2023-10-08 17:27:24
86,631,pause,2023-06-28 05:31:06
87,334,dislike,2022-06-26 22:43:10
88,811,login,2022-10-07 18:05:54
89,802,pause,2024-08-01 15:08:53
90,228,logout,2023-08-04 08:58:05
91,134,like,2025-01-04 15:40:00
92,731,like,2024-02-27 17:52:00
93,566,login,2025-01-12 05:49:17
94,129,logout,2023-04-15 02:46:35
95,890,pause,2024-03-16 16:20:39
96,336,dislike,2024-10-01 19:44:01
97,876,play,2023-02-25 12:34:30
98,529,play,2022-08-10 11:53:26
99,480,logout,2024-10-23 05:20:02
100,736,like,2025-02-24 16:47:40
101,623,like,2023-01-13 00:27:07
102,216,pause,2022-07-27 10:43:26
103,581,dislike,2022-06-13 09:31:51
104,950,pause,2025-04-26 11:50:46
105,80,play,2024-12-07 20:18:10
106,473,pause,2023-08-21 01:00:04
107,386,play,2023-12-01 17:46:23
