id_pagamento,id_usuario,valor,data_pagamento
1,512,39.9,2024-12-18
2,469,39.9,2025-04-21
3,15,29.9,2024-07-10
4,519,19.9,2024-06-23
5,829,29.9,2024-10-31
6,819,29.9,2022-07-10
7,384,19.9,2024-02-20
8,741,29.9,2023-03-26
9,772,29.9,2024-01-10
10,821,29.9,2025-04-08
11,75,39.9,2022-12-24
12,488,39.9,2023-04-04
13,334,39.9,2023-04-02
14,187,39.9,2023-11-07
15,38,19.9,2024-03-01
16,619,39.9,2023-07-14
17,804,19.9,2024-07-19
18,744,19.9,2025-04-22
19,737,19.9,2022-11-15
20,598,29.9,2022-09-13
21,271,19.9,2022-06-18
22,856,19.9,2023-01-14
23,562,29.9,2023-07-09
24,276,39.9,2024-03-20
25,974,29.9,2023-04-01
26,991,19.9,2024-05-06
27,207,29.9,2022-11-18
28,901,29.9,2022-11-01
29,436,29.9,2024-01-14
30,865,39.9,2024-01-12
31,688,19.9,2023-12-17
32,258,19.9,2022-07-06
33,211,29.9,2023-07-21
34,677,39.9,2022-09-03
35,637,29.9,2023-01-26
36,970,19.9,2024-12-06
37,852,29.9,2024-08-17
38,811,29.9,2023-04-03
39,467,39.9,2022-10-21
40,839,19.9,2024-07-06
41,412,39.9,2022-12-27
42,63,39.9,2024-09-08
43,189,39.9,2024-09-22
44,48,19.9,2022-09-11
45,9,19.9,2025-02-09
46,451,39.9,2024-05-17
47,654,19.9,2023-10-23
48,349,39.9,2022-06-27
49,371,39.9,2022-06-20
50,361,39.9,2023-12-05
51,158,19.9,2024-08-13
52,11,19.9,2023-03-17
53,370,29.9,2025-02-12
54,262,19.9,2023-10-30
55,974,29.9,2025-05-28
56,154,39.9,2023-04-03
57,982,39.9,2023-01-22
58,11,39.9,2023-06-10
59,321,39.9,2022-11-07
60,271,29.9,2025-01-05
61,542,39.9,2023-03-06
62,581,29.9,2022-11-21
63,233,19.9,2024-07-19
64,497,39.9,2025-05-13
65,551,39.9,2023-11-17
66,430,19.9,2025-03-09
67,69,19.9,2022-10-01
68,337,39.9,2023-08-18
69,192,19.9,2022-10-28
70,26,29.9,2023-06-29
71,25,39.9,2025-01-08
72,874,39.9,2023-09-20
73,745,29.9,2023-06-06
74,230,19.9,2022-11-07
75,505,19.9,2025-04-21
76,712,29.9,2023-08-20
77,172,29.9,2023-03-20
78,574,19.9,2022-07-24
79,648,39.9,2024-09-13
80,669,19.9,2023-07-26
81,502,39.9,2024-03-24
82,605,39.9,2024-03-21
83,224,19.9,2024-05-22
84,356,29.9,2024-07-03
85,354,39.9,2023-06-28
86,467,39.9,2024-10-12
87,283,29.9,2023-01-26
88,108,19.9,2024-03-10
89,478,19.9,2023-09-29
90,109,39.9,2023-01-19
91,87,29.9,2024-01-18
92,695,39.9,2023-03-06
93,902,29.9,2024-04-08
94,626,39.9,2024-01-17
95,21,29.9,2023-12-25
96,263,19.9,2023-08-20
97,548,29.9,2023-04-14
98,433,39.9,2023-09-25
99,903,29.9,2023-07-29
100,644,39.9,2025-01-19
101,989,39.9,2024-06-30
102,994,29.9,2024-06-14
103,167,29.9,2024-12-02
104,608,29.9,2022-10-27
105,58,39.9,2023-03-31
106,147,39.9,2022-09-22
107,766,19.9,2023-04-22
108,591,19.9,2024-03-22
109,839,39.9,2022-12-15
110,794,19.9,2023-11-23
111,587,19.9,2023-05-25
112,33,19.9,2022-11-10
113,110,19.9,2023-04-18
114,994,39.9,2024-03-15
115,330,19.9,2024-04-19
116,912,19.9,2022-06-09
117,33,29.9,2023-05-11
118,496,19.9,2023-07-22
119,249,39.9,2022-08-28
120,648,29.9,2024-05-20
121,952,29.9,2024-12-09
122,793,39.9,2024-06-25
123,899,19.9,2022-10-14
124,191,29.9,2024-03-04
125,783,29.9,2025-03-04
126,870,39.9,2022-07-05
127,29,39.9,2024-12-11
128,369,19.9,2023-07-07
129,795,39.9,2024-04-21
130,334,19.9,2024-06-10
131,720,29.9,2024-10-23
132,406,29.9,2023-06-14
133,138,19.9,2024-02-17
134,715,29.9,2022-11-11
135,581,39.9,2024-05-04
136,528,19.9,2024-12-02
137,911,29.9,2023-04-03
138,189,19.9,2024-05-08
139,815,39.9,2024-05-31
140,990,19.9,2024-10-15
141,12,19.9,2023-03-15
142,927,29.9,2023-03-02
143,396,29.9,2024-02-09
144,21,39.9,2024-01-12
145,146,39.9,2024-05-07
146,984,39.9,2023-10-10
147,686,39.9,2022-09-14
148,273,19.9,2024-10-19
149,438,39.9,2024-09-10
150,264,39.9,2022-12-12
151,102,39.9,2024-06-18
152,547,39.9,2023-04-30
153,48,39.9,2022-11-02
154,117,39.9,2023-04-04
155,476,39.9,2025-02-16
156,898,19.9,2023-10-08
157,970,29.9,2023-07-22
158,94,39.9,2024-05-25
159,934,39.9,2025-04-06
160,896,19.9,2023-04-28
161,307,19.9,2023-03-17
162,670,19.9,2022-10-18
163,413,19.9,2023-01-30
164,425,39.9,2023-06-29
165,763,29.9,2025-03-10
166,25,19.9,2024-03-14
167,806,39.9,2025-03-25
168,343,29.9,2023-03-14
169,27,39.9,2022-06-05
170,917,29.9,2022-09-19
171,843,39.9,2023-06-04
172,782,39.9,2024-02-28
173,621,39.9,2024-11-14
174,889,39.9,2025-04-11
175,143,39.9,2025-02-20
176,758,19.9,2024-05-07
177,418,19.9,2024-03-28
178,617,29.9,2024-02-20
179,531,29.9,2023-06-12
180,582,39.9,2025-05-08
181,186,29.9,2023-10-13
182,700,29.9,2023-03-25
183,697,29.9,2022-12-30
184,734,39.9,2024-01-15
185,429,39.9,2024-07-08
186,982,39.9,2022-06-26
187,764,19.9,2024-09-26
188,916,19.9,2024-06-20
189,613,29.9,2024-07-21
190,170,39.9,2022-09-10
191,341,29.9,2023-01-24
192,394,39.9,2025-03-11
193,191,19.9,2024-06-27
194,661,39.9,2023-04-27
195,378,39.9,2022-08-12
196,435,39.9,2022-07-17
197,432,19.9,2024-10-07
198,607,19.9,2022-12-31
199,957,29.9,2024-04-01
200,421,19.9,2023-02-17
201,199,29.9,2022-09-27
202,958,29.9,2024-05-14
203,605,29.9,2023-11-14
204,665,39.9,2023-11-14
205,944,29.9,2023-07-05
206,206,29.9,2023-07-13
207,543,19.9,2025-05-11
208,884,19.9,2024-12-02
209,631,39.9,2023-01-03
210,319,39.9,2022-11-12
211,390,39.9,2023-03-09
212,295,39.9,2024-07-04
213,763,39.9,2023-01-27
214,44,39.9,2025-03-28
215,306,19.9,2024-07-24
216,107,39.9,2022-08-08
217,45,19.9,2024-06-27
218,991,39.9,2024-09-22
219,200,19.9,2022-08-22
220,847,19.9,2025-01-30
221,927,29.9,2024-11-20
222,526,29.9,2022-08-31
223,816,29.9,2022-07-10
224,492,29.9,2024-10-05
225,387,19.9,2025-04-02
226,10,39.9,2024-10-24
227,365,29.9,2023-01-04
228,516,39.9,2024-03-23
229,495,19.9,2023-09-16
230,913,29.9,2022-10-22
231,541,29.9,2022-12-26
232,175,39.9,2025-03-09
233,9,19.9,2024-02-04
234,182,39.9,2023-08-10
235,161,29.9,2024-09-20
236,134,39.9,2024-03-17
237,860,19.9,2024-03-11
238,761,19.9,2022-11-23
239,400,19.9,2022-10-24
240,609,19.9,2022-11-06
241,382,19.9,2022-09-23
242,697,39.9,2022-07-13
243,397,29.9,2023-05-11
244,159,19.9,2025-03-12
245,41,29.9,2024-11-21
246,477,29.9,2024-11-24
247,856,29.9,2022-11-09
248,26,29.9,2022-10-25
249,876,19.9,2025-02-18
250,708,19.9,2023-02-22
251,30,39.9,2023-01-13
252,728,39.9,2022-11-30
253,112,19.9,2023-07-22
254,87,19.9,2025-03-10
255,180,29.9,2023-06-07
256,777,39.9,2024-12-03
257,979,39.9,2024-03-21
258,600,39.9,2024-03-16
259,629,29.9,2023-07-17
260,74,29.9,2022-09-12
261,171,39.9,2023-03-19
262,396,19.9,2023-11-15
263,523,19.9,2023-11-12
264,651,39.9,2023-07-06
265,453,19.9,2022-11-26
266,455,19.9,2023-01-07
267,252,29.9,2025-05-18
268,737,19.9,2023-03-29
269,818,19.9,2024-03-05
270,436,19.9,2022-08-07
271,140,19.9,2022-12-10
272,788,39.9,2022-12-29
273,124,19.9,2023-11-02
274,471,29.9,2024-03-02
275,990,39.9,2023-11-01
276,378,39.9,2024-10-06
277,173,29.9,2023-12-18
278,825,29.9,2023-09-22
279,785,19.9,2023-01-22
280,351,39.9,2025-05-11
281,976,29.9,2024-01-01
282,767,19.9,2024-02-24
283,414,39.9,2022-11-02
284,932,39.9,2024-03-27
285,267,29.9,2022-11-16
286,172,29.9,2023-03-15
287,477,19.9,2023-01-21
288,754,39.9,2024-07-15
289,389,29.9,2025-03-01
290,711,39.9,2023-01-28
291,961,29.9,2024-12-12
292,648,19.9,2025-04-06
293,275,39.9,2024-02-19
294,39,39.9,2023-07-04
