id_video,titulo,duracao,id_genero
1,Laudantium impedit atque.,139,3
2,Quas dolorem voluptate.,148,5
3,Ullam inventore.,93,3
4,Maiores.,125,3
5,Aut possimus enim.,109,3
6,Voluptate exercitationem.,60,2
7,Natus inventore nam enim.,164,1
8,Maxime suscipit natus.,121,2
9,Quisquam neque corporis.,147,1
10,Id unde repellendus.,107,1
11,Aperiam molestias doloribus.,70,3
12,Earum ad deleniti.,74,2
13,Neque repellat.,158,5
14,Modi veritatis.,82,3
15,Ipsam natus.,135,5
16,Incidunt quaerat.,172,5
17,Nihil deleniti sit.,162,3
18,Ab nam esse.,74,3
19,Libero excepturi voluptatem.,160,4
20,Quis.,63,2
21,Ea a.,119,1
22,Ratione culpa.,83,1
23,Tempora neque.,141,3
24,Quisquam.,125,5
25,Quo unde quisquam.,154,4
26,Reiciendis.,155,1
27,Optio quisquam minima molestiae.,84,1
28,Consequuntur perferendis.,126,3
29,Esse distinctio at.,158,1
30,Nesciunt laborum.,178,5
31,Illum consectetur.,69,3
32,Ducimus accusamus.,178,4
33,Corporis.,180,2
34,Sunt accusamus a.,171,1
35,Nam odio unde.,114,5
36,Sunt ab iste.,76,2
37,Repellendus quas vero.,175,1
38,Impedit deleniti dolorum.,73,4
39,Impedit laudantium.,111,1
40,Fuga laboriosam harum.,92,4
41,Ex sunt sint.,174,3
42,Ab praesentium delectus.,129,3
43,Harum nesciunt pariatur.,117,5
44,Labore expedita consequatur.,114,5
45,Deleniti aperiam earum.,109,1
46,Eaque quidem.,118,3
47,Eius maxime.,155,5
48,Adipisci quas blanditiis.,148,4
49,Error occaecati.,68,1
50,Ipsa possimus magni porro.,131,4
51,Dolor odio.,134,3
52,Sint.,98,2
53,Placeat dignissimos dolorem nulla.,175,5
54,Iusto accusantium dolorem.,129,4
55,Tempora quis accusamus.,78,2
56,Itaque natus.,130,2
57,Soluta placeat.,149,3
58,Magnam at repudiandae.,166,1
59,Id perferendis.,60,2
60,Eos expedita.,173,2
61,Harum voluptatum nihil.,77,2
62,Veritatis quasi reiciendis.,111,3
63,Alias dignissimos quaerat.,168,4
64,Mollitia incidunt.,62,2
65,Dolore cumque magni.,171,2
66,Doloremque.,177,2
67,Ab maxime repudiandae reprehenderit.,95,5
68,Vitae nesciunt consequatur.,140,5
69,Porro.,131,4
70,Quis magni.,66,4
71,Sunt quos nostrum iusto.,123,2
72,Recusandae id inventore quos.,102,1
73,Numquam saepe rerum.,133,1
