id_visualizacao,id_usuario,id_video,data_hora
1,111,4305,2024-11-21 17:38:56
2,565,3596,2024-03-09 17:36:37
3,404,2918,2024-04-23 07:19:09
4,970,2702,2023-04-22 11:04:48
5,374,1731,2023-11-22 18:39:49
6,224,184,2024-07-04 01:01:11
7,5,3141,2023-10-27 14:11:52
8,751,4505,2023-08-18 21:46:36
9,785,3163,2024-11-11 18:51:18
10,870,1300,2025-03-07 11:50:35
11,988,3761,2023-08-30 09:07:24
12,458,2392,2024-04-03 12:54:14
13,630,4914,2023-05-20 00:31:55
14,403,4702,2022-07-18 22:07:10
15,417,4126,2022-11-11 10:37:36
16,25,4429,2024-09-03 00:49:39
17,512,1223,2025-04-28 17:17:30
18,461,3014,2023-09-15 06:09:57
19,775,2337,2023-06-10 06:43:35
20,364,4258,2023-03-22 23:33:42
21,756,328,2024-01-18 06:40:43
22,306,4509,2023-12-18 06:59:05
23,912,2169,2025-05-17 20:32:34
24,180,2101,2023-11-03 15:33:01
25,262,1694,2023-06-30 07:34:48
26,248,1291,2023-10-24 23:40:52
27,298,593,2022-08-20 12:47:06
28,630,2943,2025-05-25 19:39:47
29,961,2473,2023-12-10 08:46:48
30,243,3277,2023-09-26 15:18:44
31,994,2026,2024-11-19 22:43:53
32,699,4337,2024-03-25 16:57:15
33,407,4419,2023-06-21 17:35:37
34,805,1469,2024-02-27 13:19:49
35,863,1344,2023-07-16 22:21:11
36,154,3647,2022-07-31 10:03:08
37,773,58,2023-09-20 01:59:45
38,482,67,2024-06-24 17:09:25
39,193,4533,2023-07-20 10:50:50
40,327,4850,2024-12-06 11:47:26
41,314,1546,2024-01-10 06:03:59
42,165,1690,2025-02-15 03:30:09
43,707,1462,2022-06-12 17:06:19
44,384,3421,2022-07-22 22:42:03
45,317,4727,2022-09-21 04:44:21
46,573,1079,2024-01-08 00:32:03
47,765,4368,2022-09-16 08:52:06
48,295,3078,2023-03-19 15:21:40
49,48,2158,2022-08-02 12:46:17
50,309,817,2022-06-09 12:00:34
51,974,1823,2024-12-18 16:05:33
52,324,1871,2023-05-20 13:58:43
53,13,309,2023-09-12 21:12:22
54,886,1868,2023-04-08 17:23:30
55,853,2719,2024-07-06 21:22:16
56,403,1735,2023-02-13 11:48:31
57,18,4134,2024-01-12 11:59:59
58,755,456,2022-08-28 08:32:09
59,907,1872,2023-05-24 20:19:23
60,239,1449,2023-11-22 03:48:03
61,655,2485,2022-06-18 18:42:49
62,841,1674,2024-07-16 01:57:28
63,941,2380,2022-10-13 17:52:09
64,796,2810,2024-02-25 00:49:56
65,412,18,2023-01-08 23:21:52
66,885,4907,2024-04-18 21:36:43
67,578,3850,2024-02-01 20:48:14
68,593,4554,2023-10-31 01:57:33
69,458,3425,2023-06-10 04:58:07
70,600,373,2023-07-25 11:43:06
71,102,3840,2024-12-24 22:58:29
72,722,1052,2023-09-14 23:40:46
73,458,2554,2023-11-07 02:13:10
74,184,387,2024-09-01 07:35:26
75,411,3348,2024-11-02 01:46:41
76,196,1666,2023-12-28 06:32:34
77,124,1493,2024-01-01 01:44:02
78,119,1280,2023-06-16 00:35:25
79,424,1764,2022-11-25 13:49:00
80,602,1844,2022-09-17 14:06:34
81,340,1052,2024-08-23 00:37:25
82,617,4814,2025-02-14 23:32:52
83,32,4191,2025-05-18 20:48:10
84,57,4552,2023-05-05 08:09:19
85,643,823,2023-04-14 05:44:23
86,415,2475,2023-01-22 05:59:17
87,947,2741,2025-04-02 15:16:59
88,560,4255,2024-06-06 17:47:08
89,269,1281,2024-02-20 06:19:09
90,396,2142,2023-04-18 04:54:40
91,953,3524,2023-09-16 21:22:00
92,515,2951,2023-07-21 03:00:27
93,946,369,2024-05-01 11:41:03
94,778,1275,2024-07-26 20:36:23
95,641,1829,2024-09-11 16:08:01
96,275,2818,2024-05-06 08:22:50
97,421,3232,2023-02-11 02:34:11
98,993,487,2024-06-02 00:33:40
99,22,4844,2022-09-01 11:00:04
100,864,3448,2023-05-17 13:03:26
101,203,3664,2023-10-15 08:03:14
102,960,1604,2023-02-02 19:09:03
103,340,3892,2023-12-26 14:05:33
104,569,3503,2023-06-25 23:16:13
105,264,2478,2022-08-03 23:09:58
106,225,4879,2024-11-14 15:51:50
107,134,3986,2023-06-22 03:36:23
108,323,616,2023-11-25 11:35:16
109,186,1342,2022-11-06 03:35:35
110,739,1424,2023-10-30 00:33:05
111,44,4375,2023-07-10 14:20:23
112,840,4236,2025-02-27 15:30:44
113,215,2435,2023-10-21 10:29:19
114,32,1614,2024-05-04 06:04:15
115,939,1166,2023-04-16 22:20:19
116,945,132,2023-08-05 19:07:02
117,626,4313,2024-10-01 06:25:55
118,715,1980,2022-10-20 17:11:57
119,161,943,2024-01-03 23:50:04
120,277,3959,2023-10-28 10:35:06
121,960,2484,2023-08-16 18:18:30
122,755,16,2023-01-22 14:12:37
123,988,1538,2024-01-13 09:29:40
124,377,3980,2023-04-13 12:50:57
125,401,4052,2024-07-05 09:55:15
126,60,1443,2023-01-01 19:15:39
127,706,2802,2023-01-26 08:46:23
128,524,1980,2023-03-03 13:41:49
129,34,4166,2024-04-07 09:58:01
130,547,2444,2025-03-28 15:05:09
131,245,4274,2023-02-13 00:03:37
132,560,873,2022-12-01 13:39:04
133,177,4866,2025-02-07 14:59:42
134,327,3874,2025-01-29 00:37:34
135,918,2569,2022-09-19 15:01:49
136,492,4376,2024-12-09 04:23:13
137,767,2147,2022-12-01 23:49:09
138,41,4610,2025-01-09 21:14:55
139,206,4611,2022-09-08 02:59:03
140,103,710,2022-07-03 14:21:53
141,231,1128,2022-09-14 00:11:56
142,358,3871,2024-10-07 18:31:18
143,551,2368,2024-08-05 18:20:15
144,37,1037,2023-07-15 04:31:37
145,669,4267,2024-10-04 21:53:35
146,187,1602,2025-04-16 11:31:21
147,148,460,2023-03-13 03:41:31
148,190,2177,2023-12-27 20:07:45
149,419,2509,2024-07-18 02:20:20
150,970,910,2022-09-23 13:47:51
151,705,1638,2023-11-19 03:08:40
152,658,787,2024-03-30 05:53:38
153,596,706,2024-08-13 22:03:58
154,722,3691,2023-03-17 01:20:06
155,613,354,2023-10-16 09:41:55
156,513,3720,2023-09-17 08:47:01
157,451,468,2023-05-22 13:25:23
158,73,2261,2024-05-23 14:55:28
159,414,3338,2024-02-18 09:26:22
160,89,2452,2024-01-02 05:56:16
161,198,2304,2024-07-02 16:14:11
162,575,1000,2024-02-27 13:27:56
163,48,4551,2022-09-19 03:14:30
164,341,2862,2024-06-26 18:01:30
165,964,4157,2023-02-08 23:28:29
166,154,3164,2022-08-06 01:54:12
167,658,2641,2022-11-09 21:43:44
168,949,4763,2024-04-29 17:40:54
169,912,4116,2025-04-23 19:49:08
170,271,1311,2025-01-28 08:01:37
171,63,2055,2022-07-24 16:28:06
172,828,2889,2023-04-03 07:55:24
173,304,3468,2024-09-06 12:23:16
174,822,3465,2023-05-02 16:03:23
175,584,1418,2023-05-09 09:06:15
176,568,4661,2023-10-10 20:47:12
177,22,4849,2024-08-15 09:47:02
178,801,2283,2024-08-24 01:21:50
179,441,4259,2023-03-21 18:51:23
180,713,545,2023-07-21 15:45:28
181,206,4539,2023-06-21 17:21:40
182,280,341,2024-01-03 17:37:30
183,914,4549,2022-07-04 11:45:37
184,583,4788,2023-11-18 09:38:52
185,15,4693,2024-01-20 09:15:51
186,767,4429,2022-08-06 01:31:15
187,685,4295,2022-10-13 19:19:03
188,644,3614,2022-10-10 13:28:54
189,877,4498,2023-12-04 12:14:25
190,412,3739,2023-01-29 01:49:12
191,89,2364,2023-06-17 01:37:57
192,918,456,2023-09-03 01:59:28
193,278,4225,2022-09-07 05:22:10
194,633,4796,2024-01-21 22:25:07
195,327,2875,2022-06-13 14:48:05
196,234,2352,2024-10-31 04:55:46
197,787,1688,2024-05-31 02:25:43
198,673,2397,2023-06-26 22:02:41
199,94,2517,2022-10-03 11:19:08
200,307,227,2025-03-06 22:00:45
201,409,4524,2022-11-01 17:17:26
202,281,4283,2023-06-19 06:55:46
203,591,1874,2023-01-18 14:13:38
204,557,3962,2024-05-01 09:48:56
205,861,817,2024-10-17 16:18:08
206,111,2350,2023-01-01 04:41:41
207,669,3337,2024-06-14 11:14:25
208,662,1920,2023-01-22 06:01:05
209,492,864,2023-07-19 09:40:27
210,5,3455,2023-01-30 16:00:06
211,248,2903,2022-11-18 02:27:19
212,948,4792,2024-07-26 13:01:59
213,169,4873,2025-01-21 05:50:34
214,789,1193,2024-08-19 20:09:30
215,204,1326,2022-09-25 06:14:29
216,260,2003,2024-01-12 09:52:27
217,168,3126,2024-02-29 09:57:21
218,724,4719,2022-09-30 03:10:34
219,239,3743,2024-11-01 04:17:34
220,306,380,2022-10-13 04:21:33
221,895,3999,2025-01-09 03:25:34
222,859,2006,2024-01-12 20:57:25
223,319,1469,2024-09-23 21:25:54
224,282,3281,2023-04-27 23:44:04
225,635,3051,2024-05-14 16:59:09
226,637,4689,2024-04-30 05:16:26
227,118,569,2025-04-08 16:11:22
228,550,4741,2025-04-01 03:06:01
229,127,2015,2022-06-11 02:31:17
230,995,2745,2024-10-13 13:37:53
231,592,1759,2024-05-27 16:25:04
232,604,3792,2022-06-19 23:08:24
233,883,471,2023-01-24 00:50:11
234,48,4852,2025-03-19 17:56:12
235,168,3494,2023-04-15 02:47:32
236,235,4389,2023-12-11 10:03:31
237,843,4639,2024-05-05 18:30:30
238,692,1750,2024-09-28 12:00:54
239,962,4870,2023-01-06 04:33:57
240,378,3297,2024-03-02 05:15:01
241,10,4916,2023-05-20 14:36:17
242,570,4131,2022-09-12 18:44:08
243,696,1906,2022-09-05 10:40:52
244,554,1117,2025-01-13 00:48:47
245,662,4289,2025-01-17 19:32:30
246,37,1064,2023-05-16 16:53:33
247,29,3007,2024-01-01 14:08:41
248,449,1160,2024-07-11 00:45:23
249,916,2590,2024-07-30 20:19:26
250,561,2649,2024-04-24 11:49:10
251,917,3110,2023-11-17 00:15:15
252,199,854,2024-07-27 09:13:27
253,215,2023,2025-05-02 15:38:49
254,133,1595,2025-02-27 06:37:01
255,502,3577,2024-08-29 20:08:49
256,667,557,2024-11-05 05:18:27
257,846,2305,2023-05-05 21:24:02
258,888,1020,2025-01-30 01:53:26
259,432,812,2023-03-18 22:22:31
260,284,1924,2024-10-31 05:39:19
261,781,1529,2024-05-14 15:01:22
262,134,1097,2022-12-26 21:45:23
263,626,2523,2023-03-05 22:03:22
264,391,3384,2023-01-01 15:20:45
265,351,1173,2024-09-06 15:18:49
266,345,4627,2024-03-07 21:57:32
267,168,716,2023-09-24 16:29:58
268,636,394,2023-07-24 07:24:27
269,558,3540,2025-01-07 07:39:17
270,509,970,2023-11-20 05:27:30
271,953,603,2022-11-22 03:48:25
272,882,874,2024-02-13 06:17:03
273,843,2249,2022-11-13 18:47:10
274,715,4431,2024-03-22 15:33:25
275,361,908,2023-05-17 00:01:31
276,22,4206,2024-12-20 15:32:09
277,491,1241,2023-05-08 06:13:42
278,284,3719,2022-12-24 10:33:57
279,471,3758,2025-05-09 19:15:37
280,230,1799,2024-11-29 01:40:42
281,143,567,2025-04-02 20:17:06
282,882,3097,2024-08-20 04:23:38
283,737,1686,2024-03-04 07:11:46
284,330,3415,2024-12-17 17:21:12
285,448,1670,2023-11-22 12:08:49
286,686,3376,2025-01-29 20:56:06
287,181,4598,2023-06-01 14:24:39
288,106,2402,2024-11-15 03:37:56
289,201,1774,2024-09-15 14:55:11
290,566,1507,2023-03-23 01:05:25
291,946,2880,2023-10-31 07:34:39
292,573,2220,2024-01-25 11:57:39
293,24,2075,2022-08-24 06:20:12
294,325,2310,2025-05-03 02:21:31
295,817,3414,2022-06-22 19:42:58
296,790,1782,2022-08-25 20:55:50
297,822,2356,2023-12-21 17:26:02
298,455,4934,2024-01-27 19:00:57
299,612,1538,2023-08-06 22:38:00
300,7,189,2022-10-14 14:14:16
301,183,1602,2023-03-12 20:27:44
302,753,2432,2025-02-08 10:03:33
303,291,2742,2023-04-25 09:15:43
304,726,1266,2024-04-26 19:06:27
305,794,193,2024-11-02 02:16:29
306,968,3411,2025-03-28 00:21:12
307,404,4434,2025-03-07 20:21:22
308,786,2125,2024-04-22 19:39:08
309,240,4105,2024-04-10 11:51:08
310,560,1800,2023-08-07 22:13:14
311,734,4277,2023-10-15 20:08:12
312,665,2140,2023-10-29 15:20:26
313,877,4701,2023-04-27 14:17:30
314,658,1385,2023-10-04 12:46:15
315,75,4544,2023-04-09 00:21:09
316,668,4374,2023-09-29 12:10:33
317,469,1812,2024-03-12 20:23:22
318,216,2627,2023-03-08 12:06:05
319,509,3908,2023-10-30 20:10:11
320,82,3722,2024-08-18 01:28:20
321,686,42,2023-07-10 23:41:18
322,625,1745,2024-03-06 06:40:41
323,263,2782,2022-07-29 17:11:54
324,280,4005,2024-05-18 04:41:02
325,114,1851,2023-02-15 11:13:41
326,254,771,2023-07-17 11:57:43
327,645,4517,2023-11-08 16:16:59
328,431,3342,2022-10-22 22:31:04
329,605,1885,2024-12-02 16:40:32
330,886,4055,2024-11-22 19:32:07
331,161,2384,2025-05-16 01:00:17
332,69,1947,2022-08-19 06:54:22
333,413,3361,2023-12-16 14:34:34
334,507,3707,2023-12-24 11:08:50
335,761,1633,2024-12-03 11:24:50
336,359,1047,2022-09-25 20:54:04
337,249,1581,2023-07-17 07:21:29
338,454,2749,2024-09-21 13:36:09
339,817,3746,2022-09-06 00:08:51
340,996,3828,2024-08-23 01:00:44
341,478,2842,2023-04-22 03:36:36
342,284,4040,2025-02-06 19:19:52
343,866,3252,2022-12-04 19:40:27
344,960,3372,2022-08-15 09:19:18
345,324,3875,2022-09-02 10:10:23
346,541,1633,2024-07-25 22:21:48
347,856,1003,2022-09-02 06:34:17
348,538,1477,2022-07-26 09:39:56
349,59,15,2025-04-15 06:34:26
350,825,222,2023-08-27 05:26:58
351,20,2899,2022-08-08 21:02:42
352,994,609,2023-03-06 00:35:06
353,826,1622,2024-09-19 02:49:03
354,989,977,2022-12-22 22:03:03
355,495,335,2025-02-21 21:17:55
356,404,1161,2023-12-21 07:21:43
357,646,1695,2024-11-05 15:25:01
358,432,1014,2022-06-13 10:47:08
359,836,4143,2022-12-22 11:34:07
360,691,1789,2023-12-14 02:29:10
361,355,2659,2024-07-09 01:20:04
362,241,2726,2023-06-23 01:12:22
363,944,3078,2025-02-08 05:17:54
364,451,2680,2023-09-26 21:00:32
365,24,4521,2022-12-26 03:09:16
366,638,39,2023-08-19 15:13:05
367,265,1912,2024-01-03 05:57:18
368,31,2234,2025-03-05 15:55:23
369,813,898,2023-02-05 02:21:33
370,585,91,2022-12-29 19:38:21
371,385,617,2024-03-25 04:23:33
372,999,4516,2023-08-01 02:30:40
373,384,1489,2022-06-27 05:43:46
374,359,1834,2022-08-05 04:21:15
375,655,2880,2023-06-09 17:04:22
376,900,2613,2023-03-03 18:11:41
377,487,4951,2024-08-20 11:31:01
378,116,4596,2023-04-10 02:18:37
379,317,4309,2024-05-21 03:13:10
380,857,3466,2024-03-22 14:56:25
381,879,1842,2023-01-22 13:13:04
382,465,2890,2024-12-31 23:01:03
383,756,4401,2024-04-12 05:46:18
384,349,4674,2024-11-01 04:57:03
385,977,2097,2022-11-25 20:59:16
386,523,2690,2024-02-20 23:44:29
387,357,1168,2023-09-15 13:04:21
388,737,1321,2022-10-29 16:57:51
389,429,976,2025-02-13 19:32:21
390,731,1060,2024-11-26 09:58:35
