id_favorito,id_usuario,id_video,data_favorito
1,48,536,2022-09-29 03:10:00
2,447,1490,2024-02-25 01:04:51
3,602,4766,2024-12-16 02:44:01
4,50,412,2023-03-09 16:51:35
5,234,3274,2023-05-15 19:06:29
6,963,3602,2022-06-25 08:10:57
7,423,463,2022-11-18 05:58:03
8,620,1854,2023-01-07 15:20:40
9,711,4547,2023-08-11 15:45:24
10,435,2964,2025-05-04 03:43:56
11,539,260,2022-07-17 17:34:56
12,937,3822,2024-12-20 18:01:34
13,722,1034,2025-01-04 21:58:49
14,900,3752,2022-09-12 05:22:33
15,643,1242,2023-04-08 08:26:05
16,675,2953,2025-02-13 20:05:46
17,902,2490,2024-05-31 07:43:24
18,67,630,2024-03-23 18:03:45
19,524,1614,2022-10-27 05:07:36
20,506,3089,2023-11-20 09:38:41
21,557,4670,2025-02-14 00:18:25
22,714,4580,2024-08-06 02:31:07
23,826,2120,2025-02-06 19:26:42
24,926,874,2023-07-17 02:17:00
25,629,4923,2023-10-21 06:18:31
26,496,393,2024-11-10 10:31:30
27,25,3417,2022-12-05 23:47:41
28,238,3245,2023-01-15 13:55:08
29,21,26,2022-12-23 23:26:41
30,796,1180,2023-09-13 16:07:19
31,215,905,2025-05-21 14:19:56
32,646,2467,2024-04-11 18:10:38
33,79,3328,2024-03-15 12:58:39
34,701,2688,2022-06-21 11:24:10
35,267,3439,2024-10-12 15:38:33
36,545,3848,2024-11-09 14:26:30
37,640,3770,2024-07-30 13:29:56
38,808,3994,2024-05-26 01:49:26
39,652,647,2022-09-07 09:40:24
40,729,4715,2023-12-08 07:22:29
41,601,350,2025-02-13 19:03:57
42,646,4363,2024-03-10 08:10:46
43,735,1948,2022-06-13 20:59:13
44,609,120,2024-10-03 23:27:51
45,838,2238,2022-12-28 19:57:06
46,432,2100,2024-01-22 01:25:30
47,550,3555,2024-01-27 18:39:32
48,388,4806,2023-09-15 01:46:25
49,321,4343,2024-03-20 03:04:56
50,713,4145,2025-01-17 18:25:34
51,60,3331,2024-09-10 12:45:26
52,829,4346,2023-04-15 00:35:19
53,266,1872,2024-06-05 10:05:46
54,349,459,2023-02-16 10:41:43
55,849,2807,2024-02-17 03:23:13
56,941,1358,2024-07-01 13:57:20
57,181,56,2024-07-25 07:03:31
58,957,1198,2024-12-13 06:00:06
59,876,4937,2022-12-25 11:01:33
60,58,3253,2022-07-01 05:27:51
61,231,1093,2023-06-15 14:26:54
62,462,3448,2022-07-22 19:45:34
63,446,920,2023-02-25 14:20:34
64,980,2317,2023-01-10 20:33:18
65,141,2311,2022-06-17 21:40:21
66,96,3373,2025-02-14 23:51:18
67,64,2657,2025-03-12 10:45:44
68,491,1554,2023-05-12 08:02:49
